book_id,group_vocab
1,교육
2,철학
3,역사
4,환경
5,역사
6,혁신
7,건축
8,교육
9,철학
10,기술
11,희망
12,철학
13,설계
14,경제
15,혁신
16,사회
17,환경
18,역사
19,성공
20,환경
21,역사
22,전쟁
24,사회
25,환경
26,역사
27,행복
28,철학
29,희망
30,기술
31,경제
32,기술
33,교육
34,환경
35,기술
36,철학
37,역사
38,기술
39,건강
40,행복
41,윤리
42,성공
43,윤리
44,기술
45,기술
46,기술
47,기술
48,경제
49,기술
50,철학
51,행복
52,윤리
53,환경
54,사회
55,운동
56,환경
57,환경
58,꿈
59,지식
60,경제
61,희망
62,행복
63,문학
64,철학
65,철학
66,사회
67,기술
68,과학
69,사회
70,지식
71,도전
72,지식
73,교육
74,건강
75,사회
76,환경
77,기술
78,경제
79,기술
80,기술
81,교육
82,기술
83,경제
84,교육
85,역사
86,기술
87,신뢰
88,사회
89,교육
90,철학
91,환경
92,행복
93,철학
94,윤리
95,기술
96,역사
97,명상
98,혁신
99,역사
100,경제
101,기술
102,기술
103,예술
104,전쟁
105,사회
106,기술
107,철학
108,지식
109,행복
110,희망
111,윤리
112,기술
113,기술
114,환경
115,역사
116,행복
117,문학
118,행복
119,역사
120,환경
121,예술
122,건강
123,철학
124,운동
125,환경
126,철학
127,철학
128,사회
129,교육
130,경제
131,윤리
132,교육
133,설계
134,사회
135,교육
136,교육
137,사회
138,윤리
139,철학
140,윤리
141,역사
142,건강
143,설계
144,지식
145,철학
146,꿈
147,기술
148,행복
149,지식
150,지식
151,기술
152,신뢰
153,기술
154,철학
155,사회
156,혁신
157,교육
158,역사
159,기술
160,동물
161,사회
162,행복
163,도전
164,과학
165,철학
166,성공
167,역사
168,지식
169,혁신
170,행복
171,사회
172,기술
173,기술
174,혁신
175,기술
176,철학
177,예술
178,교육
179,사회
180,철학
181,과학
182,행복
183,명상
184,역사
185,행복
186,교육
187,환경
188,지식
189,교육
190,신뢰
191,행복
192,예술
193,역사
194,환경
195,혁신
196,환경
197,예술
198,교육
199,행복
200,교육
201,꿈
202,기술
203,행복
204,기술
205,행복
206,환경
207,동물
208,경제
